App Name,App ID,Price,Rating,Number of Ratings,Developer,Size,Minimum OS Version,Content Rating,Genre,Year
Flight Pilot Simulator 3D!,959619034,Free,4.59192,52571,"Wildlife Studios, Inc",308543488,12.5,4+,Simulation,2015
SimCity BuildIt,913292932,Free,4.07559,57530,EA Swiss Sarl,247778304,13,4+,Simulation,2014
Hearthstone,625257520,Free,4.12547,110118,"Blizzard Entertainment, Inc.",545980416,12,12+,Strategy,2014
Top War: Battle Game,1479198816,Free,4.04534,91616,River Game HK Limited,2531343360,12,12+,Role Playing,2019
Art of War: Legions,1484362191,Free,4.61374,102569,SamShui Corporation,478589952,12,9+,Strategy,2019
Evony,1098157959,Free,3.9794,162646,TOP GAMES INC.,1219252224,9,12+,Role Playing,2016
AFK Arena,1375425432,Free,4.70899,497000,"LilithGame Co., Ltd",703264768,12,9+,Strategy,2019
War Dragons,958763157,Free,4.41112,27262,"Pocket Gems, Inc.",209953792,8,12+,Entertainment,2015
Kingdom Rush Tower Defense TD,516378985,Free,4.83568,67330,Ironhide S.A.,155453440,11,12+,Action,2012
Rescue Cut - Rope Puzzle,1475887491,Free,4.55015,469695,ITI Inc.,256625664,12,12+,Strategy,2019
Supremacy 1914,1450824654,Free,4.80975,26570,Bytro Labs GmbH,98046976,13,17+,Entertainment,2019
Mech Arena - Shooting Game,1377591228,Free,4.85452,171442,Plarium Global Ltd,255490048,12,12+,Strategy,2020
Art Of War 3:RTS Strategy Game,853680597,Free,4.8029,8077,GEAR GAMES GLOBAL FZE,549187584,12.4,12+,Strategy,2017
Weed Inc: Idle Tycoon,1355866764,Free,4.81001,213188,Metamoki Inc.,357975040,12,17+,Strategy,2018
Lords Mobile: Last Rise of Qin,1071976327,Free,4.36416,137999,IGG SINGAPORE PTE. LTD.,1695420416,12,12+,Strategy,2016
War Commander: Rogue Assault,695948278,Free,4.5146,12843,KIXEYE Inc,184210432,12.1,17+,Strategy,2016
Last Day on Earth: Survival,1241932094,Free,4.5603,95201,AP KEFIR LTD,1110278144,13,17+,Action,2017
Sea of Conquest: Pirate War,6463715971,Free,4.41552,4575,FunPlus International AG,1021867008,12,12+,Simulation,2024
SpongeBob: Krusty Cook-Off,1433784188,Free,4.69238,172266,Tilting Point LLC,281580544,13,4+,Strategy,2020
Castle Crush: Clash Cards Game,1060704812,Free,4.77677,80299,"Wildlife Studios, Inc",252910592,11,12+,Strategy,2016
Warpath: Ace Shooter,1529067679,Free,4.68356,75952,"LilithGame Co., Ltd",2174692352,11,17+,Strategy,2021
Sea War: Raid,6447612873,Free,4.79358,26838,江锋 聂,1922167808,12,12+,Strategy,2023
Cooking Craze: Restaurant Game,1029094059,Free,4.66323,257660,"Big Fish Games, Inc",532423680,12,4+,Strategy,2017
NFL Fantasy Football,876054082,Free,4.58153,233696,NFL Enterprises  LLC,187351040,15,4+,Strategy,2014
Sushi Bar Idle,1438089337,Free,4.86564,327608,Green Panda Games,200507392,12.5,4+,Entertainment,2018
Age of Apes,1475453887,Free,4.74554,135515,TAP4FUN (HONGKONG) LIMITED,1433622528,12,12+,Role Playing,2020
Mobile Legends: Bang Bang,1160056295,Free,4.50113,489807,"Shanghai Moonton Technology Co., Ltd.",316802048,12,12+,Action,2016
Fight For America: Country War,6444187655,Free,4.57534,116838,HOMA GAMES,422360064,12.5,12+,Casual,2023
Total Battle: Strategy Game,1274132545,Free,4.55912,25837,SCOREWARRIOR LIMITED,270103552,12,9+,Strategy,2018
Towerlands - tower defense TD,1491901979,Free,4.55047,7183,Black Bears Publishing LLC,382437376,14.5,12+,Strategy,2020
Castle Clash: World Ruler,692669501,Free,4.21351,31184,IGG SINGAPORE PTE. LTD.,853922816,12,9+,Action,2013
Kiss of War,1465860096,Free,4.8379,45386,TAP4FUN (HONGKONG) LIMITED,1862469632,12,12+,Strategy,2019
Rush Royale: Tower Defense TD,1526121033,Free,4.51903,85342,MY.GAMES B.V.,840388608,13,12+,Card,2020
Bee Factory!,1411267916,Free,4.80668,221160,Green Panda Games,82820096,13,4+,Strategy,2018
Head Ball 2 - Soccer Game,1193933380,Free,4.67127,183137,MASOMO LIMITED,275668992,12,4+,Sports,2018
Narcos: Cartel Wars & Strategy,1143052259,Free,4.72391,11344,Tilting Point LLC,292553728,12,12+,Entertainment,2016
Plants vs. Zombies™ Heroes,1000876192,Free,4.69104,131031,EA Swiss Sarl,186122240,12,9+,Card,2016
⋆Spider Solitaire: Card Games,487025819,Free,4.7601,279067,Brainium Studios LLC,231099392,12,12+,Card,2012
Basketball Arena - Sports Game,1491198695,Free,4.82747,138286,MASOMO LIMITED,260806656,12,4+,Sports,2020
Bloons TD 6,1118115766,$6.99 ,4.85728,308900,Ninja Kiwi Limited,162755584,13,9+,Strategy,2018
Pokémon UNITE,1512321575,Free,4.72881,173743,The Pokemon Company,886824960,10,4+,Strategy,2021
Honor of Kings,1619254071,Free,4.69083,22751,PROXIMA BETA PTE.LIMITED,684054528,12,12+,Action,2024
Grand Gangster War,6670165223,Free,4.7904,1021,WGAME TECHNOLOGY LIMITED,765911040,13,17+,Strategy,2025
Age of Origins:Tower Defense,1376515087,Free,4.18412,57898,"Hong Kong Ke Mo software Co., Limited",1231898624,12,17+,Strategy,2018
Fire Emblem Heroes,1181774280,Free,4.76572,127936,"Nintendo Co., Ltd.",115776512,15,12+,Strategy,2017
LUDUS・Strategy PvP Merge Match,6446642912,Free,4.80861,6688,TOP APP GAMES LTD,331667456,12,9+,Role Playing,2023
Puzzles & Survival,1517980891,Free,4.43836,53379,"BUILDING-BLOCKS NETWORK TECHNOLOGY CO.,LIMITED",1921724416,10,12+,Role Playing,2020
Star Trek Fleet Command,1427744264,Free,4.28389,64155,"Scopely, Inc.",428523520,13,12+,Role Playing,2018
Cooking Diary® Restaurant Game,1214763610,Free,4.73324,159927,MYTONA Ltd.,714035200,13,12+,Strategy,2018
Vikings: War of Clans,966810173,Free,4.35103,12113,Plarium LLC,391779328,11,9+,Action,2015
Battle 3D - Strategy game,948452996,Free,4.08876,3425,Luis Evaristo Rodriguez Campos,438418432,12,12+,Strategy,2015
Frost & Flame: King of Avalon,1084930849,Free,4.42041,71125,FunPlus International AG,1830624256,12,9+,Role Playing,2016
Cooking Dash™,978866413,Free,4.65029,104052,Glu Games LLC,195993600,10,4+,Casual,2015
Chess ∙,311395856,Free,4.54132,184604,Optime Software LLC,87625728,12,4+,Strategy,2009
Weed Firm 2: Back To College,1030447361,Free,4.84647,122471,Ludum LLC,309777408,14,17+,Simulation,2016
Cooking City: Restaurant Games,1397824035,Free,4.76266,158664,"MagicSeven Co., Ltd",918879232,12,4+,Entertainment,2018
Idle Construction 3D,1473951944,Free,4.85818,226563,Green Panda Games,253927424,13,4+,Entertainment,2019
Noblemen: 1896,1178777377,Free,4.78598,21713,Foursaken Media,1023082496,11,17+,Action,2017
Crowd Evolution!,1613908087,Free,4.30734,83456,Rollic Games Oyun Yazilim ve Pazarlama Anonim Sirketi,575955968,12.5,12+,Action,2022
Magic: The Gathering Arena,1496227521,Free,4.6111,122830,Wizards of the Coast LLC,1257879552,14.1,12+,Strategy,2021
Last Fortress: Underground,1540557475,Free,4.51477,53362,LIFE IS A GAME LIMITED,1456281600,11,17+,Simulation,2021
Idle Theme Park - Tycoon Game,1460772578,Free,4.57794,134073,Digital Things Sociedad Limitada,1226003456,12,9+,Entertainment,2019
Bloons TD 5,563718995,$2.99 ,4.82214,94520,Ninja Kiwi Limited,148509696,9.3,9+,Action,2012
Bullet Echo,1500726361,Free,4.78361,86362,ZeptoLab UK Limited,335538176,13,17+,Strategy,2020
March of Empires: Strategy MMO,976688720,Free,4.19266,4640,Gameloft,492738560,11.4.1,12+,Strategy,2015
Zombie Gunship Survival: AC130,1019161597,Free,4.75767,52711,Flaregames GmbH,820306944,12,12+,Entertainment,2017
ESPN Tournament Challenge,359891723,Free,4.72463,43730,"Disney Electronic Content, Inc.",126930944,16,12+,Strategy,2010
Idle Supermarket Tycoon - Shop,1442064951,Free,4.6005,147059,Digital Things Sociedad Limitada,592606208,12,9+,Simulation,2019
Cookie Clickers,703439482,Free,4.21955,4491,Tiny Games srl,132862976,13,4+,Strategy,2013
Animal Revolt Battle Simulator,1584343172,Free,4.60226,121194,VDimension Ltd,1233424384,13,12+,Strategy,2021
War and Peace: Civil War,1279226071,Free,4.51083,30711,eRepublik Labs Limited,804302848,12,12+,Entertainment,2017
Strategy & Tactics World War 2,570655455,Free,3.16763,173,HC GLOBAL DISTRIBUTION LIMITED,147073024,10,12+,Strategy,2013
Kingdom Clash：Medieval Defense,1611722542,Free,4.63668,8615,AI GAMES FZ LLC,1218843648,13.5,12+,Strategy,2022
Make It Rain: Love of Money,839599050,Free,4.56709,45192,"Space Inch, LLC",200387584,14.7,4+,Entertainment,2014
Checkers,321026028,Free,4.65897,77148,Vintolo Ltd,76709888,11,4+,Entertainment,2009
Idle Zombies,1370346970,Free,4.74986,67203,Lion Studios LLC,150824960,12.3,12+,Strategy,2018
Idle Lumber Empire - Wood Game,1552153525,Free,4.61097,92309,AppQuantum Publishing Ltd,397704192,13,12+,Entertainment,2021
Knights & Dragons - RPG,539793374,Free,4.69643,7560,"Funzio, Inc",108978176,10,9+,Family,2012
Idle Roller Coaster,1459059300,Free,4.83328,184920,Solid Games LIMITED,227895296,12,17+,Simulation,2019
Pixel Starships™,321756558,Free,4.74741,33901,Savy Soda Pty Ltd,382153728,12,9+,Entertainment,2016
Idle Heroes - Idle Games,1153461915,Free,4.76382,104796,DHGames Limited,755585024,12,9+,Strategy,2016
Game of Thrones: Conquest ™,1035712810,Free,4.35173,85862,Warner Bros. Entertainment,298595328,13,12+,Strategy,2017
Disney Heroes: Battle Mode,1327925104,Free,4.5772,43228,"PerBlue Entertainment, Inc.",736014336,10,9+,Strategy,2018
War Regions - Tactical Game,6446321346,Free,4.50595,10414,SayGames LTD,225899520,13,4+,Strategy,2023
TOY WARS: Green Soldier Strike,1235557817,Free,4.43844,114612,"Volcano Force Technology CO., Limited",910493696,12,12+,Strategy,2017
RollerCoaster Tycoon® Touch™,1164507836,Free,4.54276,80785,"Atari, Interactive",1230800896,13,4+,Strategy,2017
From Zero to Hero: Idle game!,1321606577,Free,4.80115,292461,Heatherglade Publishing Korlatolt Felelossegu Tarsasag,263438336,13,12+,Finance,2017
Jurassic Monster World 3D FPS,1417141579,Free,4.76122,89148,AZUR INTERACTIVE GAMES LIMITED,1008035840,11,9+,Strategy,2019
Grand War: Army Strategy War,1522261060,Free,4.50689,1888,哲宇 吴,1014460416,12,12+,Entertainment,2020
The Battle Cats,850057092,Free,4.52141,40339,ponos corporation,175551488,12,9+,Strategy,2014
Summoners Greed: Idle TD Tower,1258027083,Free,4.92101,121908,PIXIO LIMITED,361666560,13,4+,Card,2017
War of Nations: PvP Conflict,568212992,Free,2.56704,977,Garden City Games Ltd,165539840,12,12+,Action,2013
Age of Magic: Turn Based RPG,1175370741,Free,4.71638,24198,Playkot Ltd,348596224,13.2,12+,Role Playing,2018
Hempire - Weed Growing Game,1139379843,Free,4.82578,30008,LBC Studios Inc.,160766976,15.2,17+,Simulation,2017
Taps to Riches,1069160488,Free,4.66594,22397,"Game Circus Studios, LLC",404635648,12,4+,Entertainment,2016
The Walking Dead No Man's Land,970417047,Free,4.71223,31456,Deca Live Operations GmbH,906750976,12,17+,Role Playing,2015
West Game,1453356737,Free,4.28028,10297,"LEXIANGCO.,LIMITED",457167872,13,12+,Entertainment,2019
MARVEL SNAP,1592081003,Free,4.70523,119377,Nuverse (Hong Kong) Limited,311665664,12,9+,Strategy,2022
Wiz Khalifa's Weed Farm,1207493846,Free,4.82817,80078,Metamoki Inc.,253837312,12,17+,Strategy,2017
Five Hoops,1484825317,Free,4.69478,116195,Voodoo,199712768,13,12+,Sports,2019
Call of Dragons,1605558677,Free,4.75875,30605,FARLIGHT PTE. LTD.,2657035264,12,9+,Role Playing,2023
The Ants: Underground Kingdom,1568415097,Free,4.50223,23003,"ChengDu Starunion Interactive Entertainment Technology Co., Ltd.",215585792,11,9+,Simulation,2021
Battle Simulator: Idle Warfare,1564386657,Free,4.74006,24229,PlaySide Studios PTY LTD,410619904,13,12+,Strategy,2021
Ark of War: Aim for the cosmos,981800298,Free,4.15569,8016,7 Pirates Limited,222167040,11,12+,Role Playing,2016
Tower Craft 3D - Idle Building,1500938520,Free,4.76998,138185,AI GAMES FZ LLC,221915136,13,12+,Casual,2020
Toilet Time: Crazy Poop Game,736787261,Free,4.50397,10945,TPG TECNOLOGIA DA INFORMACAO LTDA,140883968,12,9+,Family,2013
Jurassic World Alive,1231085864,Free,4.49469,120349,"Jam City, Inc.",1792656384,13,17+,Strategy,2018
Idle Office Tycoon-Money game,1617250285,Free,4.81623,48539,Chengdu Warrior Tech Limited,731881472,13,17+,Simulation,2022
Chess without ads,522314512,Free,4.74223,33441,Christophe THERON,38619136,12,4+,Board,2012
Underworld Empire,555150599,Free,4.07254,1530,Deca Games EOOD,102631424,12,12+,Strategy,2013
Animal Warfare: Idle Battler,1523254222,Free,4.77499,92549,PlaySide Studios PTY LTD,205559808,12,12+,Strategy,2020
TFT: Teamfight Tactics,1480616748,Free,4.49937,65845,Riot Games,140212224,13,12+,Action,2020
Stick Army: World War Strategy,1591773562,Free,4.67461,5286,"DIVMOB CO., LTD",134158336,11,12+,Action,2022
Megapolis: City Building Sim,580765736,Free,4.57896,26235,Social Quantum Ltd,161421312,12,4+,Entertainment,2012
Doomsday: B.Duck,1552206075,Free,4.70078,63522,IGG SINGAPORE PTE. LTD.,2445480960,12,12+,Strategy,2021
Clash of Kings - CoK,945274928,Free,3.98164,3050,"ELEX Technology Holdings Co., Ltd.",522712064,9,12+,Role Playing,2014
Prison Empire Tycoon－Idle Game,1508490923,Free,4.57115,80681,Digital Things Sociedad Limitada,1407050752,12,12+,Strategy,2020
Cookie Jam Blast™ Match 3 Game,1034920425,Free,4.73424,190235,"Jam City, Inc.",244710400,13,4+,Strategy,2017
Tap Tap Fish - AbyssRium,1068366937,Free,4.47827,24066,SangHeon Kim,1271447552,12,4+,Simulation,2016
Brave Nine - Strategy RPG,1299021478,Free,4.67655,4248,NEOWIZ Corporation,3322395648,12,12+,Role Playing,2019
Kingdoms of HF - Dragon War,1209396965,Free,4.63731,9617,A Thinking Ape Entertainment Ltd.,986076160,12,12+,Strategy,2017
Tower Crush: Strategy War Game,695198278,Free,4.45299,234,Cleverson Schmidt,93735936,8,4+,Entertainment,2016
Rise of Castles: Fire and War,1411917616,Free,4.23925,18658,LONG TECH NETWORK LIMITED,2561171456,12,12+,Role Playing,2018
Epic Battle Simulator 2,1220503572,Free,4.59626,30793,Rappid Studios PC,200110080,12,12+,Simulation,2017
TerraGenesis - Space Settlers,1039841501,Free,4.62371,31647,Tilting Point LLC,364601344,11,4+,Simulation,2016
Invasion: Aerial Warfare,949785353,Free,4.28226,2859,TAP4FUN (HONGKONG) LIMITED,2064215040,12,12+,Entertainment,2015
Bud Farm: Grass Roots,1100883805,Free,4.70944,30204,LDRLY (Technologies) Inc,54211584,9,17+,Strategy,2016
Idle Hotel Empire Tycoon－Game,1485552989,Free,4.63503,88633,Digital Things Sociedad Limitada,851966976,12,9+,Simulation,2019
Kingdom Guard:Tower Defense TD,1570095804,Free,4.54782,45332,TAP4FUN (HONGKONG) LIMITED,1762807808,12,12+,Strategy,2021
Legends of Runeterra,1480617557,Free,4.83889,61101,Riot Games,187893760,13,12+,Strategy,2020
Island War: Raid,1542454536,Free,4.90625,23873,SamShui Corporation,438447104,12,9+,Strategy,2020
Vainglory,671464704,Free,4.66773,52183,Super Evil Mega Corp.,2351985664,8,12+,Action,2014
Will it Crush? Idle Game Gear,1347072403,Free,4.44805,59728,"Brightika, Inc.",124847104,13,12+,Simulation,2018
Dead Ahead: Zombie Warfare,1017311881,Free,4.61461,51519,ABE Entertainment Limited,220057600,13,12+,Strategy,2017
King of Thieves,952715194,Free,4.39536,14349,ZeptoLab UK Limited,368496640,13,9+,Action,2015
Triumph: Play for Cash,1608987929,Free,4.67579,142529,"Triumph Arcade, LLC",949154816,16,17+,Entertainment,2022
Yu-Gi-Oh! Master Duel,1554247785,Free,4.87249,74511,"Konami Digital Entertainment Co., Ltd.",264431616,13,12+,Card,2022
ZombsRoyale.io,1356882421,Free,4.65913,134666,Yangcheng Liu,351920128,13,12+,Strategy,2018
League of Legends: Wild Rift,1480616990,Free,4.19306,52687,Riot Games,3741122560,12,12+,Action,2021
Lumbercraft,1538758103,Free,4.59429,37682,Voodoo,423427072,13,12+,Action,2020
Weed Firm: RePlanted,1034019709,Free,4.74181,9935,Ludum LLC,141574144,10,17+,Strategy,2015
Dark War:Survival,6670441558,Free,4.28974,8732,Florere Game Limited,939211776,12,12+,Card,2024
Train Station 2: Steam Empire,1427248206,Free,4.65699,78217,Pixel Federation Games,433509376,12,12+,Strategy,2019
Celtic Tribes - Strategy MMO,564769273,Free,3.6,45,XYRALITY GmbH,201567232,12,12+,Strategy,2012
Bid Wars: Storage Auction Game,1023494154,Free,4.57624,78787,By Aliens L.L.C-FZ,215445504,13,12+,Entertainment,2015
Frozen City,1637040599,Free,4.80496,48386,Century Games Pte. Ltd.,1276005376,12,12+,Simulation,2022
World at War WW2 Strategy MMO,1124468718,Free,4.31871,1459,eRepublik Labs Limited,312012800,12,12+,Simulation,2016
AdVenture Communist,1225683141,Free,4.68424,56422,Hyper Hippo Publishing Ltd.,345262080,12,4+,Strategy,2017
Grow Empire: Rome,1387541192,Free,4.65794,13264,ZERAUS DEVS LTDA,366468096,12,12+,Strategy,2018
Brutal Age: Horde Invasion,1156787368,Free,4.63271,18729,TAP4FUN (HONGKONG) LIMITED,641528832,12,12+,Role Playing,2016
Idle Egg Factory 3D,1596871014,Free,4.76021,49022,Solid Games LIMITED,227768320,12,4+,Strategy,2021
Turmoil,1485507408,Free,4.53823,18295,"Xiamen Leiting Network Technology Co., Ltd.",1871983616,12,4+,Strategy,2022
X-War: Clash of Zombies,608847384,Free,4.69421,20573,云鹏 沈,87204864,11,9+,Strategy,2013
Zombie Tower Shooting Defense,490248104,Free,4.65995,6902,"Wildlife Studios, Inc",26640384,7,4+,Strategy,2012
Z Day: Hearts of Heroes,1374225046,Free,4.16781,5989,FunPlus International AG,267325440,12,12+,Strategy,2018
Top Heroes,6450953550,Free,4.60519,5894,River Game HK Limited,1040673792,10,12+,Role Playing,2024
Bloons TD 6 NETFLIX,1671633204,Free,4.87345,48844,"Netflix, Inc.",224605184,16,9+,Action,2023
Simon's Cat - Crunch Time,1239458501,Free,4.87183,53258,Tactile Games Limited,484446208,13,9+,Entertainment,2017
Gods of Olympus,880735556,Free,4.70019,42791,"Aegis Interactive, LLC",260496384,11,9+,Entertainment,2015
Domino! - Multiplayer Dominoes,523001403,Free,4.54501,30038,"Flyclops, LLC",229693440,13,4+,Entertainment,2012
Style Me Girl - Free 3D Fashion Dressup,521514229,Free,4.21058,5404,Frenzoo Limited,148086784,6,4+,Strategy,2012
Five Nights at Freddy's,912536422,$2.99 ,4.66883,21222,CLICKTEAM LLC USA,115558400,12,12+,Strategy,2014
Bitcoin Billionaire,911117141,Free,4.77834,19137,Noodlecake Studios Inc,221792256,12,12+,Simulation,2014
Airport City Manager Simulator,495637457,Free,4.57692,58934,Game Insight UAB,537854976,12,4+,Strategy,2012
Random Dice: Defense,1462877149,Free,4.5709,50834,"Crater Co., Ltd.",946466816,13,9+,Simulation,2019
Balatro,6502453075,$9.99 ,4.96976,41166,Playstack Ltd,97530880,13.5,12+,Strategy,2024
Merge & Fight - Dinosaur Game,1604225544,Free,4.59509,72477,HOMA GAMES,338095104,13,17+,Entertainment,2022
Bloons Monkey City,918037679,Free,4.70859,41342,Ninja Kiwi Limited,131232768,12,9+,Simulation,2014
Playdoku: Block Puzzle Game,6443701534,Free,4.41866,97140,Burny Games LTD,321691648,13,17+,Puzzle,2022
Sally's Spa: Beauty Salon Game,315733642,Free,4.70102,8161,Games Cafe Inc.,215949312,13,4+,Simulation,2009
World Conqueror 4,1258468290,Free,4.62715,16634,悦 张,251394048,12,9+,Strategy,2017
Viking Rise: Valhalla,6443577184,Free,4.71536,39513,IGG SINGAPORE PTE. LTD.,2032216064,12,12+,Strategy,2023
The Lord of the Rings: War,1485854536,Free,4.3319,17653,NETEASE INTERACTIVE ENTERTAINMENT PTE. LTD,2039630848,11,12+,Simulation,2021
Survival: Wasteland Zombie,1441515328,Free,4.66814,55048,"Joyloft Co.,Limited",882145280,8.2,12+,Simulation,2018
Ball Smasher ™,1381559021,Free,4.54856,64775,Lion Studios LLC,50757632,9.3,4+,Simulation,2018
Top Drives - Car Race Battles,1069370674,Free,4.6598,50432,Hutch Games Ltd,2068177920,13,4+,Racing,2017
